stop_id,stop_code,stop_name,stop_lat,stop_lon
Reja,51.1127861300,17.0555646400
PL._STASZICA,51.1225051400,17.0309683500
Paulińska,51.1202896900,17.0354275900
Klimasa,51.0800034400,17.0625517600
Wiśniowa,51.0844577800,17.0256820800
Chełmońskiego,51.1038835600,17.0907119500
EPI,51.0976473400,17.0290176100
Jerzmanowska,51.1260826600,16.9098917700
Berenta,51.1355112000,17.0575858200
STĘPIN_-_pętla,51.2134415000,17.2855453000
BIELANY_WROCŁAWSKIE,51.0327015600,16.9677890500
Krzelowska,51.1774615200,16.8786003600
Rondo,51.0911494400,17.0178796300
Morwowa,51.0759126400,17.0519091400
KRAKOWSKA_(Centrum_handlowe),51.0900349300,17.0646568700
Siechnice,51.0299700000,17.1414140000
Uniwersytet,51.1137562100,17.0323867600
IWINY_-_pętla,51.0452600000,17.0717370000
PILCZYCKA_(Anima),51.1351552600,16.9692437400
Bezpieczna,51.1412386800,17.0250751400
Bzowa_(Centrum_Zajezdnia),51.0976059800,16.9926512100
Popowice,51.1263766400,16.9952899900
Wschowska,51.1449086300,16.8814493900
Dubois,51.1172784300,17.0342973300
Januszkowice,51.2211972000,17.2385123000
Monte_Cassino,51.1060319700,17.1055154300
LEŚNICA,51.1448916300,16.8716380400
Kośnego,51.1207106000,16.8640121100
Zagłoby,51.1095419000,16.9302482300
Kochanowskiego,51.1150627500,17.0736171000
Wyszyńskiego,51.1227988000,17.0528858000
Małomicka,51.1668052400,16.8867304900
Renoma,51.1041265100,17.0323177900
Psary_-_Szkoła,51.1867050000,17.0318510000
pl._Legionów,51.1041647100,17.0201090300
Długołęka_-_skrzyżowanie,51.1794482100,17.1904205500
Bociania,51.1298900800,17.0971764700
Groblice_II-Kotowicka,51.0135110000,17.1750000000
Pułtuska,51.0745575000,17.0164437100
Koszarowa,51.1402692700,17.0698749100
Zielna,51.1454497500,17.1079144100
Krajobrazowa,51.1291202900,16.8404182500
Wojszycka,51.0677188700,17.0143228000
Głubczycka,51.0800063400,17.0804495800
Poleska,51.1465301600,17.1290510900
Os._Przyjaźni,51.0695733800,16.9973643100
Ceglana,51.1198273100,17.1219478600
Paulińska,51.1209713200,17.0350055400
Blizanowicka,51.0758844300,17.0927620700
Łozina_-_cmentarz,51.2282950000,17.1806760000
Bielany_-_PKP,51.0382056000,16.9753721500
Stabłowicka_(Szkoła_Podstawowa_nr_22),51.1703400000,16.9016280000
PL._JANA_PAWŁA_II,51.1117500700,17.0204681500
GRABISZYŃSKA_(Cmentarz),51.0903793300,16.9767377500
Słowiańska,51.1240703500,17.0428228900
DW._ŚWIEBODZKI,51.1085111000,17.0188265300
Iwiny_-_Polna,51.0470300000,17.0820530000
Kamienna,51.0863024900,17.0468284400
Nowy_Dwór,51.1124566500,16.9607992200
Jarnołtowska_(Krzeptowska),51.1202956100,16.8558288700
Jerzmanowo,51.1209893100,16.8766318900
OPORÓW,51.0839290000,16.9709156700
Bielany_-_Kościół,51.0400724800,16.9690615300
Tyrmanda,51.1031001700,16.9455441500
Miłoszycka,51.1162510000,17.1276090000
Rękodzielnicza,51.1370464900,16.9578851800
Raków,51.1707118500,17.2771347900
Zielna,51.1451135500,17.1072601000
Kleczkowska,51.1272838100,17.0275841500
Na_Szańcach,51.1194001600,17.0420180500
Wyższa_Szkoła_Bankowa,51.1142409800,16.9780381500
PL._GRUNWALDZKI,51.1116106300,17.0604342000
Zacisze,51.1243518300,17.0778218200
PL._DANIŁOWSKIEGO,51.1385229200,17.0590853700
Godebskiego_(AWF_Wrocław),51.1139412900,17.0979923800
Eluarda,51.1462280000,16.8674081100
DWORZEC_AUTOBUSOWY,51.0971226700,17.0326441800
Adamczewskich,51.1208439600,16.8695348600
Rynek,51.1112028100,17.0270362800
Bąków,51.2119353200,17.1594618000
EPI,51.0978894400,17.0295311300
Kolejowa,51.1056127700,17.0149223500
Azaliowa,51.1639965000,17.1118338900
Uniwersytet_Ekonomiczny,51.0898889600,17.0286671900
Okrzei,51.1063521600,17.0992530800
Ozorzyce-Krasińskiego,50.9993410000,17.0833650000
Jordanowska,51.0796664900,16.9574772400
Niedziałkowskiego,51.1087563000,17.1396307100
Żerniki,51.1230927200,16.9248345000
Las_Osobowicki,51.1479741600,16.9838305100
Klimasa,51.0801615700,17.0624714800
KOZANÓW,51.1378201300,16.9679529700
Radio_i_Telewizja,51.0717340500,17.0059545500
ZACHODNIA_(Stacja_kolejowa),51.1163976900,17.0004091800
Aleja_Wędrowców,51.0879861000,16.9918824300
NOWY_DWÓR_(pętla),51.1194313300,16.9520998800
Jarocińska,51.1423082100,16.9902143800
Iwiny_-_Słoneczna,51.0437400000,17.0783200000
Braterska,51.0676164600,16.9995540000
Ślęza_(ul._Przystankowa),51.0369970000,16.9847500000
Bielany_-_skrzyżowanie,51.0390917500,16.9709403100
Park_Zachodni,51.1294052000,16.9714251000
ROD_Źródło_Zdrowia,51.1511971500,17.1077045100
Psie_Pole_(Gorlicka),51.1458387600,17.1137168100
Siechnice_-_Elektrociepłownia,51.0367500000,17.1441720000
Opatowicka_nr_85,51.0951554000,17.1230275700
Bociania,51.1297322500,17.0980540600
Paprotna,51.1481809800,17.0206268600
Przystankowa,51.0700097100,17.0321837600
Kośnego,51.1204467700,16.8631401000
Chełmońskiego,51.1037603000,17.0908703600
Kiełczów_-_osiedle,51.1324518000,17.1717445100
Kutrzeby,51.0518332200,17.0188292700
Zimowa,51.0720232900,17.0008125600
Ślusarska,51.0841596000,16.9903802000
Stanisławowska,51.0969461700,16.9468979100
Komuny_Paryskiej,51.1023005900,17.0466553900
pl._Orląt_Lwowskich,51.1074836000,17.0224198700
KRZYKI,51.0745604600,17.0067135000
Sulimów,51.0013220000,17.1262570000
Kamiennogórska_(Ośrodek_dla_niewidomych),51.1426287900,16.8997251000
Biskupice_Podgórne_LG_Display,51.0173300000,16.8800420000
Pietrzykowice,51.1233340200,17.2323170500
Bacciarellego,51.1054386700,17.1116518200
Las_Ratyński,51.1235167000,16.8330710000
Długołęka_-_skrzyżowanie,51.1787673000,17.1904503400
OSOBOWICE_(Stacja_kolejowa),51.1654575200,16.9989984500
Gajowa,51.0919339700,17.0399381800
Modra,51.1377356100,16.9648839000
Witkowska,51.1484043200,16.9889220200
Tokary_-_osiedle,51.2307025900,17.1347456300
Robotnicza_(Centrozłom),51.1091136500,17.0089554400
Godzieszowa_-_stajnia,51.2384200000,17.1282013000
Weigla_(Szpital),51.0773993700,17.0191201400
Bacciarellego,51.1056363100,17.1104913100
Polkowicka,51.1554325000,16.8734630700
Dzielna,51.1386343100,16.9768901400
Poznańska,51.1219902600,17.0124829500
Pułaskiego,51.0982992200,17.0429557600
Kępa_-_Skrzyżowanie,51.2410979000,17.1968078000
Jastrzębia,51.0837239800,17.0100384700
Krakowiany,51.2637789000,17.1902850000
Tymiankowa,51.1765761700,16.9919465400
Krucza,51.0944236000,17.0107815500
Mosty_Warszawskie,51.1283829800,17.0538427900
Kątna,51.1326714700,17.2835237400
Górnicza,51.1406265500,16.9582568900
Zbożowa,51.1735297900,16.9121521600
Morelowskiego,51.0696805600,16.9689522000
PL._JANA_PAWŁA_II,51.1121544100,17.0207247200
Kopernika,51.1124498000,17.0854671100
Narodowe_Forum_Muzyki,51.1078990000,17.0262940000
Przedwiośnie_(Stacja_kolejowa),51.1604270700,17.1224171100
Siechnice_-_Elektrociepłownia,51.0367500000,17.1443570000
Maślice_Małe,51.1533120800,16.9395463900
Sudecka,51.0844339100,17.0180651400
Redycka,51.1486843000,17.0755699000
Palacha,51.1404994500,17.1263193500
Spółdzielcza,51.1021114100,17.1023814200
Skierniewicka,51.0776501400,17.0144646000
Renoma,51.1037838900,17.0307293200
Żmigrodzka_(Obwodnica),51.1548384400,17.0288383100
Łozina_-_Nowego_Osiedla_I,51.2335288100,17.1718061300
BARDZKA,51.0832163600,17.0480013100
Dworzec_Główny_(Stawowa),51.0999048600,17.0338842900
Pomorska,51.1178954300,17.0308934600
FAT,51.0942408000,16.9803286000
Ślęza_(ul._Przystankowa),51.0374831000,16.9859783800
Urząd_Wojewódzki,51.1096733000,17.0477552500
Siechnice_-_Szkolna,51.0338400000,17.1471450000
Ceglana,51.1197409100,17.1218161200
Wschowska,51.1447810300,16.8817250400
Pułtuska,51.0747735700,17.0161786500
Zacisze,51.1241929000,17.0782392700
Dubois,51.1170118900,17.0332606000
Arkady_(Capitol),51.1020390600,17.0298365300
Oleśniczka_-_skrzyżowanie,51.1546719800,17.2825095700
Śniadeckich,51.1205704600,17.0773104000
Kliniki,51.1094524000,17.0661215100
Kolista,51.1332096600,16.9722292900
Kamiennogórska_(Ośrodek_dla_niewidomych),51.1424933800,16.9000487100
SĘPOLNO,51.1142851200,17.1038941200
OSOBOWICKA_(Cmentarz),51.1350718600,17.0057431500
Weigla_(Szpital),51.0767667200,17.0183333200
Grabiszyńska,51.1012382500,17.0137498600
Dmowskiego,51.1162438800,17.0247238200
Marchewkowa,51.0666983500,16.9741725100
GRABISZYŃSKA_(Cmentarz_II),51.0881142500,16.9756586700
Partynice,51.0608569900,16.9985086200
Prudnicka,51.0891998500,17.0451315000
Modra,51.1368106600,16.9666722700
PL._GRUNWALDZKI,51.1116205100,17.0600864200
Rzemieślnicza,51.1708793000,17.0037794600
Ostrowskiego,51.0951126700,16.9732223600
ZOO,51.1055608100,17.0778982000
Bojanowska,51.1653264500,16.8818990400
BARDZKA_(Cmentarz),51.0732655400,17.0532944900
PL._GRUNWALDZKI,51.1114516500,17.0605291900
Głogowska,51.1174262400,17.0035309700
Stalowa,51.0996657800,17.0016518700
Główna,51.1636348700,16.8966882100
Szczodre_-_Trzebnicka,51.1903616100,17.1841944200
Roweckiego,51.0507896000,17.0300235400
OSOBOWICKA_(Cmentarz),51.1354559000,17.0042563000
pl._Wróblewskiego,51.1053429000,17.0489335300
Skała,51.2556597000,17.2283084000
most_Milenijny,51.1365115200,16.9992727300
