indeks nazwa x y
145 Małomicka 51.1668 16.8867
146 Renoma 51.1041 17.0323
147 Psary_-_Szkoła 51.1867 17.0319
148 pl._Legionów 51.1042 17.0201
149 Długołęka_-_skrzyżowanie 51.1794 17.1904
150 Bociania 51.1299 17.0972
151 Groblice_II-Kotowicka 51.0135 17.175
152 Pułtuska 51.0746 17.0164
153 Koszarowa 51.1403 17.0699
154 Zielna 51.1455 17.1079
155 Krajobrazowa 51.1291 16.8404
156 Wojszycka 51.0677 17.0143
157 Głubczycka 51.08 17.0805
158 Poleska 51.1465 17.1291
159 Os._Przyjaźni 51.0696 16.9974
160 Ceglana 51.1198 17.1219
161 Paulińska 51.121 17.035
162 Blizanowicka 51.0759 17.0928
163 Łozina_-_cmentarz 51.2283 17.1807
164 Bielany_-_PKP 51.0382 16.9754
165 Stabłowicka_(Szkoła_Podstawowa_nr_22) 51.1703 16.9016
166 PL._JANA_PAWŁA_II 51.1118 17.0205
167 GRABISZYŃSKA_(Cmentarz) 51.0904 16.9767
168 Słowiańska 51.1241 17.0428
169 DW._ŚWIEBODZKI 51.1085 17.0188
170 Iwiny_-_Polna 51.047 17.0821
171 Kamienna 51.0863 17.0468
172 Nowy_Dwór 51.1125 16.9608
173 Jarnołtowska_(Krzeptowska) 51.1203 16.8558
174 Jerzmanowo 51.121 16.8766
175 OPORÓW 51.0839 16.9709
176 Bielany_-_Kościół 51.0401 16.9691
177 Tyrmanda 51.1031 16.9455
178 Miłoszycka 51.1163 17.1276
179 Rękodzielnicza 51.137 16.9579
180 Raków 51.1707 17.2771
181 Zielna 51.1451 17.1073
182 Kleczkowska 51.1273 17.0276
183 Na_Szańcach 51.1194 17.042
184 Wyższa_Szkoła_Bankowa 51.1142 16.978
185 PL._GRUNWALDZKI 51.1116 17.0604
186 Zacisze 51.1244 17.0778
187 PL._DANIŁOWSKIEGO 51.1385 17.0591
188 Godebskiego_(AWF_Wrocław) 51.1139 17.098
189 Eluarda 51.1462 16.8674
190 DWORZEC_AUTOBUSOWY 51.0971 17.0326
191 Adamczewskich 51.1208 16.8695
192 Rynek 51.1112 17.027
193 Bąków 51.2119 17.1595
194 EPI 51.0979 17.0295
195 Kolejowa 51.1056 17.0149
196 Azaliowa 51.164 17.1118
197 Uniwersytet_Ekonomiczny 51.0899 17.0287
198 Okrzei 51.1064 17.0993
199 Ozorzyce-Krasińskiego 50.9993 17.0834
200 Jordanowska 51.0797 16.9575
201 Niedziałkowskiego 51.1088 17.1396
202 Żerniki 51.1231 16.9248
203 Las_Osobowicki 51.148 16.9838
204 Klimasa 51.0802 17.0625
205 KOZANÓW 51.1378 16.968
206 Radio_i_Telewizja 51.0717 17.006
207 ZACHODNIA_(Stacja_kolejowa) 51.1164 17.0004
208 Aleja_Wędrowców 51.088 16.9919
209 NOWY_DWÓR_(pętla) 51.1194 16.9521
210 Jarocińska 51.1423 16.9902
211 Iwiny_-_Słoneczna 51.0437 17.0783
212 Braterska 51.0676 16.9996
213 Ślęza_(ul._Przystankowa) 51.037 16.9848
214 Bielany_-_skrzyżowanie 51.0391 16.9709
215 Park_Zachodni 51.1294 16.9714
216 ROD_Źródło_Zdrowia 51.1512 17.1077
217 Psie_Pole_(Gorlicka) 51.1458 17.1137
218 Siechnice_-_Elektrociepłownia 51.0368 17.1442
219 Opatowicka_nr_85 51.0952 17.123
220 Bociania 51.1297 17.0981
221 Paprotna 51.1482 17.0206
222 Przystankowa 51.07 17.0322
223 Kośnego 51.1204 16.8631
224 Chełmońskiego 51.1038 17.0909
225 Kiełczów_-_osiedle 51.1325 17.1717
226 Kutrzeby 51.0518 17.0188
227 Zimowa 51.072 17.0008
228 Ślusarska 51.0842 16.9904
229 Stanisławowska 51.0969 16.9469
230 Komuny_Paryskiej 51.1023 17.0467
231 pl._Orląt_Lwowskich 51.1075 17.0224
232 KRZYKI 51.0746 17.0067
233 Sulimów 51.0013 17.1263
234 Kamiennogórska_(Ośrodek_dla_niewidomych) 51.1426 16.8997
235 Biskupice_Podgórne_LG_Display 51.0173 16.88
236 Pietrzykowice 51.1233 17.2323
237 Bacciarellego 51.1054 17.1117
238 Las_Ratyński 51.1235 16.8331
239 Długołęka_-_skrzyżowanie 51.1788 17.1905
240 OSOBOWICE_(Stacja_kolejowa) 51.1655 16.999
241 Gajowa 51.0919 17.0399
242 Modra 51.1377 16.9649
243 Witkowska 51.1484 16.9889
244 Tokary_-_osiedle 51.2307 17.1347
245 Robotnicza_(Centrozłom) 51.1091 17.009
246 Godzieszowa_-_stajnia 51.2384 17.1282
247 Weigla_(Szpital) 51.0774 17.0191
248 Bacciarellego 51.1056 17.1105
249 Polkowicka 51.1554 16.8735
250 Dzielna 51.1386 16.9769
251 Poznańska 51.122 17.0125
252 Pułaskiego 51.0983 17.043
253 Kępa_-_Skrzyżowanie 51.2411 17.1968
254 Jastrzębia 51.0837 17.01
255 Krakowiany 51.2638 17.1903
256 Tymiankowa 51.1766 16.9919
257 Krucza 51.0944 17.0108
258 Mosty_Warszawskie 51.1284 17.0538
259 Kątna 51.1327 17.2835
260 Górnicza 51.1406 16.9583
261 Zbożowa 51.1735 16.9122
262 Morelowskiego 51.0697 16.969
263 PL._JANA_PAWŁA_II 51.1122 17.0207
264 Kopernika 51.1124 17.0855
265 Narodowe_Forum_Muzyki 51.1079 17.0263
266 Przedwiośnie_(Stacja_kolejowa) 51.1604 17.1224
267 Siechnice_-_Elektrociepłownia 51.0368 17.1444
268 Maślice_Małe 51.1533 16.9395
269 Sudecka 51.0844 17.0181
270 Redycka 51.1487 17.0756
271 Palacha 51.1405 17.1263
272 Spółdzielcza 51.1021 17.1024
273 Skierniewicka 51.0777 17.0145
274 Renoma 51.1038 17.0307
275 Żmigrodzka_(Obwodnica) 51.1548 17.0288
276 Łozina_-_Nowego_Osiedla_I 51.2335 17.1718
277 BARDZKA 51.0832 17.048
278 Dworzec_Główny_(Stawowa) 51.0999 17.0339
279 Pomorska 51.1179 17.0309
280 FAT 51.0942 16.9803
281 Ślęza_(ul._Przystankowa) 51.0375 16.986
282 Urząd_Wojewódzki 51.1097 17.0478
283 Siechnice_-_Szkolna 51.0338 17.1471
284 Ceglana 51.1197 17.1218
285 Wschowska 51.1448 16.8817
286 Pułtuska 51.0748 17.0162
287 Zacisze 51.1242 17.0782
288 Dubois 51.117 17.0333
289 Arkady_(Capitol) 51.102 17.0298
290 Oleśniczka_-_skrzyżowanie 51.1547 17.2825
291 Śniadeckich 51.1206 17.0773
292 Kliniki 51.1095 17.0661
293 Kolista 51.1332 16.9722
294 Kamiennogórska_(Ośrodek_dla_niewidomych) 51.1425 16.9
295 SĘPOLNO 51.1143 17.1039
296 OSOBOWICKA_(Cmentarz) 51.1351 17.0057
297 Weigla_(Szpital) 51.0768 17.0183
298 Grabiszyńska 51.1012 17.0138
299 Dmowskiego 51.1162 17.0247
300 Marchewkowa 51.0667 16.9742
301 GRABISZYŃSKA_(Cmentarz_II) 51.0881 16.9757
302 Partynice 51.0609 16.9985
303 Prudnicka 51.0892 17.0451
304 Modra 51.1368 16.9667
305 PL._GRUNWALDZKI 51.1116 17.0601
306 Rzemieślnicza 51.1709 17.0038
307 Ostrowskiego 51.0951 16.9732
308 ZOO 51.1056 17.0779
309 Bojanowska 51.1653 16.8819
310 BARDZKA_(Cmentarz) 51.0733 17.0533
311 PL._GRUNWALDZKI 51.1115 17.0605
312 Głogowska 51.1174 17.0035
313 Stalowa 51.0997 17.0017
314 Główna 51.1636 16.8967
315 Szczodre_-_Trzebnicka 51.1904 17.1842
316 Roweckiego 51.0508 17.03
317 OSOBOWICKA_(Cmentarz) 51.1355 17.0043
318 pl._Wróblewskiego 51.1053 17.0489
319 Skała 51.2557 17.2283
320 most_Milenijny 51.1365 16.9993
321 most_Osobowicki 51.133 17.0262
322 Rynek 51.1098 17.0266
323 Szkocka 51.1091 16.9686
324 Przyjaźni 51.0688 17.0047
325 DWORZEC_NADODRZE 51.1242 17.035
326 Okrzei 51.1064 17.0985
327 Śliczna 51.0851 17.035
328 Działdowska 51.1332 17.1054
329 SPISKA_(Ośrodek_sportu) 51.0836 17.03
330 MOKRY_DWÓR 51.0711 17.1237
331 Bogusławice 50.9979 17.105
332 Ratyń_-_skrzyżowanie 51.1307 16.8476
333 Kutrzeby 51.0524 17.0194
334 Metalowców 51.1322 16.9564
335 Kotowice_-_Cmentarna 51.0227 17.2334
336 Buforowa 51.0705 17.054
337 Paprotna 51.1478 17.0205
338 Małopanewska 51.1239 16.9875
339 Nowy_Dwór 51.1126 16.9599
340 Kolista 51.1327 16.9739
341 pl._Srebrny 51.0984 16.9962
342 Bujwida 51.1134 17.0668
343 Nyska 51.0831 17.0544
344 Kiełczówek 51.1195 17.1792
345 Kajdasza 51.0535 17.058
346 DWORZEC_NADODRZE 51.1244 17.0334
347 Kamiennogórska_(Ośrodek_dla_niewidomych) 51.1426 16.8997
348 Odolanowska 51.1662 17.1284
349 Mielecka 51.0896 17.0004
350 Orlińskiego 51.1221 16.9719
351 Zwycięska 51.0597 17.0057
352 Kościelna 51.0639 16.9839
353 Kadłubka 51.0765 16.9687
354 Uniwersytet_Ekonomiczny 51.0891 17.0285
355 Mirków_-_Stadion 51.1676 17.1644
356 Pereca 51.1011 17.0081
357 JERZMANOWO_(Cmentarz_II) 51.1232 16.8828
358 Kętrzyńska 51.131 17.0741
359 Dobroszycka 51.1513 17.1267
360 Wejherowska 51.1292 16.9853
361 KOZANÓW 51.1375 16.9688
